hh mm ss ms ax ay az angle latitude longtitude gpsFlag x y z
11 42 12 985 -1.8921 -0.23779 -0.43652 133.67 31.842 117.25 1 -2 0 1.5057e-015
11 42 13 250 -1.9053 -0.22119 -0.45117 133.21 31.842 117.25 1 -2 0 1.5057e-015
11 42 13 546 -1.9121 -0.2334 -0.43457 133.52 31.842 117.25 1 -2 0 1.5057e-015
11 42 13 858 -1.8936 -0.23193 -0.45313 133.68 31.842 117.25 1 -2 0 1.5057e-015
11 42 14 61 -1.9058 -0.22803 -0.45703 133.83 31.842 117.25 1 -2 0 1.5057e-015
11 42 14 311 -1.9282 -0.22705 -0.43848 133.83 31.842 117.25 1 -2 0 1.5057e-015
11 42 14 529 -1.9126 -0.22852 -0.43262 133.44 31.842 117.25 1 -2 0 1.5057e-015
11 42 14 810 -1.9121 -0.25098 -0.44678 133.76 31.842 117.25 1 -2 0 1.5057e-015
11 42 15 44 -1.9111 -0.24951 -0.44189 134.07 31.842 117.25 1 -2 0 1.5057e-015
11 42 15 247 -1.9092 -0.25439 -0.44727 133.52 31.842 117.25 1 -2 0 1.5057e-015
11 42 15 543 -1.9219 -0.24316 -0.46436 133.45 31.842 117.25 1 -2 0 1.5057e-015
11 42 15 902 -1.916 -0.24902 -0.45801 133.6 31.842 117.25 1 -2 0 1.5057e-015
11 42 16 136 -1.9146 -0.2334 -0.4541 133.37 31.842 117.25 1 -2 0 1.5057e-015
11 42 16 354 -1.9038 -0.24561 -0.45361 133.52 31.842 117.25 1 -2 0 1.5057e-015
11 42 16 573 -1.8906 -0.24414 -0.41992 133.68 31.842 117.25 1 -2 0 1.5057e-015
11 42 16 838 -1.9204 -0.23242 -0.42969 133.44 31.842 117.25 1 -2 0 1.5057e-015
11 42 17 103 -1.915 -0.22363 -0.44629 133.52 31.842 117.25 1 -2 0 1.5057e-015
11 42 17 368 -1.896 -0.21729 -0.44824 133.83 31.842 117.25 1 -2 0 1.5057e-015
11 42 17 571 -1.9058 -0.25293 -0.44775 133.75 31.842 117.25 1 -2 0 1.5057e-015
11 42 17 852 -1.9111 -0.24902 -0.45996 133.52 31.842 117.25 1 -2 0 1.5057e-015
11 42 18 117 -1.916 -0.229 -0.42822 133.76 31.842 117.25 1 -2 0 1.5057e-015
11 42 18 398 -1.9238 -0.24072 -0.46143 133.75 31.842 117.25 1 -2 0 1.5057e-015
11 42 18 632 -1.8999 -0.23047 -0.45068 133.68 31.842 117.25 1 -2 0 1.5057e-015
11 42 18 866 -1.9248 -0.22998 -0.44482 133.91 31.842 117.25 1 -2 0 1.5057e-015
11 42 19 131 -1.8843 -0.23047 -0.4165 133.68 31.842 117.25 1 -2 0 1.5057e-015
11 42 19 381 -1.8994 -0.23047 -0.45068 133.28 31.842 117.25 1 -2 0 1.5057e-015
11 42 19 646 -1.9102 -0.21729 -0.43604 133.6 31.842 117.25 1 -2 0 1.5057e-015
11 42 19 849 -1.9326 -0.24756 -0.44971 133.91 31.842 117.25 1 -2 0 1.5057e-015
11 42 20 129 -1.9263 -0.24219 -0.44336 133.84 31.842 117.25 1 -2 0 1.5057e-015
11 42 20 379 -1.9204 -0.25244 -0.46191 133.52 31.842 117.25 1 -2 0 1.5057e-015
11 42 20 644 -1.9102 -0.26221 -0.45654 133.44 31.842 117.25 1 -2 0 1.5057e-015
11 42 20 972 -1.9165 -0.24072 -0.45703 133.37 31.842 117.25 1 -2 0 1.5057e-015
11 42 21 175 -1.9243 -0.23193 -0.41895 133.98 31.842 117.25 1 -2 0 1.5057e-015
11 42 21 440 -1.9067 -0.23193 -0.42773 133.75 31.842 117.25 1 -2 0 1.5057e-015
11 42 21 658 -1.9082 -0.25 -0.43018 133.45 31.842 117.25 1 -2 0 1.5057e-015
11 42 21 939 -1.9155 -0.25244 -0.44434 133.52 31.842 117.25 1 -2 0 1.5057e-015
11 42 22 173 -1.8989 -0.22998 -0.42627 133.83 31.842 117.25 1 -2 0 1.5057e-015
11 42 22 423 -1.9087 -0.25049 -0.41895 133.76 31.842 117.25 1 -2 0 1.5057e-015
11 42 22 688 -1.917 -0.22656 -0.45117 133.68 31.842 117.25 1 -2 0 1.5057e-015
11 42 22 984 -1.8882 -0.21387 -0.41553 133.75 31.842 117.25 1 -2 0 1.5057e-015
11 42 23 218 -1.9253 -0.24512 -0.43018 133.36 31.842 117.25 1 -2 0 1.5057e-015
