hh mm ss ms ax ay az angle latitude longtitude gpsFlag x y z
11 41 6 589 -1.8916 -0.2251 -0.43311 131.72 31.842 117.25 1 -2 0 1.5057e-015
11 41 6 823 -1.9058 -0.22705 -0.43555 131.71 31.842 117.25 1 -2 0 1.5057e-015
11 41 7 88 -1.9219 -0.21582 -0.42334 131.88 31.842 117.25 1 -2 0 1.5057e-015
11 41 7 400 -1.8984 -0.22754 -0.42822 131.47 31.842 117.25 1 -2 0 1.5057e-015
11 41 7 681 -1.9146 -0.24805 -0.45166 131.96 31.842 117.25 1 -2 0 1.5057e-015
11 41 7 915 -1.8965 -0.21973 -0.43066 131.81 31.842 117.25 1 -2 0 1.5057e-015
11 41 8 196 -1.9043 -0.2373 -0.44482 132.13 31.842 117.25 1 -2 0 1.5057e-015
11 41 8 477 -1.9033 -0.22266 -0.42529 131.74 31.842 117.25 1 -2 0 1.5057e-015
11 41 8 742 -1.9087 -0.2334 -0.41895 131.94 31.842 117.25 1 -2 0 1.5057e-015
11 41 8 960 -1.9097 -0.22656 -0.44678 131.88 31.842 117.25 1 -2 0 1.5057e-015
11 41 9 241 -1.8999 -0.22754 -0.4375 131.88 31.842 117.25 1 -2 0 1.5057e-015
11 41 9 506 -1.9067 -0.22803 -0.43359 132.05 31.842 117.25 1 -2 0 1.5057e-015
11 41 9 772 -1.9082 -0.23975 -0.44287 131.88 31.842 117.25 1 -2 0 1.5057e-015
11 41 10 37 -1.9258 -0.23828 -0.44873 131.62 31.842 117.25 1 -2 0 1.5057e-015
11 41 10 286 -1.9077 -0.24268 -0.45166 131.88 31.842 117.25 1 -2 0 1.5057e-015
11 41 10 536 -1.9097 -0.23389 -0.45117 131.81 31.842 117.25 1 -2 0 1.5057e-015
11 41 10 801 -1.8853 -0.25488 -0.4165 131.81 31.842 117.25 1 -2 0 1.5057e-015
11 41 11 113 -1.9063 -0.2251 -0.43262 131.74 0 0 0 -2 0 1.5057e-015
11 41 11 332 -1.9092 -0.22119 -0.41992 131.97 0 0 0 -2 0 1.5057e-015
11 41 11 612 -1.9165 -0.22363 -0.43115 131.95 0 0 0 -2 0 1.5057e-015
11 41 11 862 -1.916 -0.2207 -0.43555 132.03 0 0 0 -2 0 1.5057e-015
11 41 12 174 -1.9282 -0.23242 -0.43799 131.37 0 0 0 -2 0 1.5057e-015
11 41 12 408 -1.9028 -0.25732 -0.43359 131.81 0 0 0 -2 0 1.5057e-015
11 41 12 689 -1.895 -0.22754 -0.4375 131.98 0 0 0 -2 0 1.5057e-015
11 41 12 985 -1.9058 -0.23486 -0.44727 131.96 0 0 0 -2 0 1.5057e-015
11 41 13 282 -1.9077 -0.21289 -0.4292 131.57 31.842 117.25 1 -2 0 1.5057e-015
11 41 13 578 -1.9243 -0.23828 -0.45557 131.72 31.842 117.25 1 -2 0 1.5057e-015
11 41 13 828 -1.8975 -0.23486 -0.44238 131.56 31.842 117.25 1 -2 0 1.5057e-015
11 41 14 124 -1.9126 -0.22998 -0.42041 131.9 31.842 117.25 1 -2 0 1.5057e-015
11 41 14 374 -1.8887 -0.23096 -0.44629 131.82 31.842 117.25 1 -2 0 1.5057e-015
11 41 14 639 -1.9219 -0.22852 -0.42871 132.05 31.842 117.25 1 -2 0 1.5057e-015
11 41 14 873 -1.9053 -0.21143 -0.44531 131.8 31.842 117.25 1 -2 0 1.5057e-015
11 41 15 138 -1.9082 -0.229 -0.43213 131.8 31.842 117.25 1 -2 0 1.5057e-015
11 41 15 466 -1.9087 -0.21973 -0.4502 131.44 31.842 117.25 1 -2 0 1.5057e-015
11 41 15 778 -1.8936 -0.25 -0.43018 131.87 31.842 117.25 1 -2 0 1.5057e-015
11 41 15 996 -1.9028 -0.24463 -0.41797 131.62 31.842 117.25 1 -2 0 1.5057e-015
11 41 16 230 -1.917 -0.23486 -0.4502 131.96 31.842 117.25 1 -2 0 1.5057e-015
11 41 16 448 -1.9209 -0.23779 -0.43652 131.97 31.842 117.25 1 -2 0 1.5057e-015
11 41 16 667 -1.9136 -0.24219 -0.46338 131.8 31.842 117.25 1 -2 0 1.5057e-015
11 41 16 885 -1.9146 -0.22266 -0.42383 131.89 31.842 117.25 1 -2 0 1.5057e-015
11 41 17 135 -1.9155 -0.24707 -0.4541 131.79 31.842 117.25 1 -2 0 1.5057e-015
