CableY  CableZ  CableProb
-0.96  -0.284  0.0958984
-0.96  -0.262  0.0924114
-0.96  -0.262  0.0897475
-0.96  -0.262  0.0914705
-0.96  -0.284  0.0945466
-0.96  -0.284  0.0931622
-0.96  -0.284  0.0907344
-0.96  -0.262  0.0908585
-1  -0.284  0.0929944
-1  -0.306  0.1001
-0.96  -0.284  0.0958417
-1.04  -0.35  0.105566
-1  -0.328  0.103743
-1.04  -0.35  0.103833
-1  -0.328  0.0999483
-1.04  -0.394  0.107303
-1  -0.328  0.103361
-1.04  -0.35  0.104836
-1.04  -0.35  0.106286
-1  -0.328  0.102367
-1  -0.328  0.101619
-1  -0.328  0.102143
-1  -0.306  0.100622
-1  -0.328  0.102182
-1.04  -0.35  0.106512
-1  -0.306  0.101817
-1.04  -0.35  0.108803
-1.04  -0.35  0.103309
-1.04  -0.328  0.106046
-1.04  -0.35  0.104646
-1.04  -0.328  0.105173
-1.08  -0.372  0.111469
-1.04  -0.328  0.108609
-1.04  -0.328  0.10675
-1.04  -0.35  0.11021
-1.04  -0.35  0.108036
-1.04  -0.35  0.107963
-1.04  -0.35  0.106468
-1.04  -0.35  0.107599
-1.04  -0.35  0.104461
-1.04  -0.35  0.108934
-1.04  -0.328  0.105145
-1.04  -0.35  0.109102
-1.04  -0.328  0.104879
-1.04  -0.372  0.111145
-1.04  -0.35  0.106995
-1.04  -0.328  0.104698
-1.04  -0.35  0.107629
-1  -0.306  0.102649
-1.04  -0.328  0.103209
-1.04  -0.328  0.103669
-1.04  -0.328  0.10554
-1  -0.35  0.104665
-1.04  -0.328  0.102325
-1.04  -0.306  0.104473
-1.04  -0.372  0.105776
-1.08  -0.372  0.115553
-1.08  -0.372  0.112926
-1  -0.284  0.0994123
-1.04  -0.328  0.107355
-1.04  -0.328  0.106602
-1.04  -0.328  0.108706
-1.04  -0.328  0.109589
-1.04  -0.328  0.108941
-1.08  -0.328  0.108607
-1.04  -0.328  0.108813
-1.04  -0.328  0.107323
-1.08  -0.35  0.111472
-1.08  -0.35  0.114217
-1.08  -0.35  0.111299
-1.08  -0.35  0.110098
-1.08  -0.372  0.112116
-1.04  -0.306  0.107364
-1.08  -0.35  0.111623
-1.04  -0.328  0.107372
-1.08  -0.35  0.109726
-1.04  -0.328  0.108382
-1.04  -0.306  0.105872
-1.08  -0.35  0.111534
-1.08  -0.35  0.110936
-1.04  -0.328  0.107813
-1.04  -0.306  0.105491
-1.08  -0.35  0.110161
-1.04  -0.306  0.104588
-1.04  -0.328  0.109266
-1.04  -0.306  0.106589
-1.08  -0.35  0.110238
-1.04  -0.306  0.106912
-1.04  -0.328  0.109435
-1.08  -0.35  0.108896
-1.08  -0.394  0.118489
-1.08  -0.35  0.111527
-1.04  -0.328  0.109318
-1.04  -0.328  0.10787
-1.04  -0.306  0.107399
-1.04  -0.306  0.10661
-1.04  -0.306  0.105799
-1.04  -0.306  0.10369
-1.04  -0.306  0.10633
-1.04  -0.328  0.108415
-1.04  -0.328  0.108415
